SubjectN,SessionN,GroupN,SexN,TriggerS,Main_tag,SIT,remainM,giveM,RegM,MDFirstP,MDRT,EmoRESP,EFirstP,EmoRT,EmoTag,SITtag,RegMtag,ITI,ISI,TOnsettime,fixOnsettime,MDOnsettime,ISIstart,EmoOnsettime,EmoEndtime,TrialEnd,resttimeDPlus,resttimeEPlus
1,1,1,1,8131,8,你看到幫助國際戰爭飢荒受害者的基金會的募款箱,300,70,0,178,2109,無意見,0,12000,0,1,7,1000,1500,9130,34628,9130,21128,22628,34628,35628,0,1
1,1,1,1,8131,24,你看到一個蛋糕餐車並買了一盒蛋糕,300,0,0,0,11896,無意見,0,12000,0,2,7,3000,2000,9130,61628,35632,47629,49628,61628,64628,1,1
1,1,1,1,8131,49,你看到一位路人向你介紹穩賺不賠的投資方法並建議一起投資,0,0,300,0,11897,很差,341,1560,-3,4,1,3000,2000,9130,90626,64631,76629,78628,90626,93626,1,0
1,1,1,1,8131,2,你看到伊甸基金會的志工拿著募款箱募款,0,270,300,978,4482,無意見,0,11998,0,1,1,3000,2000,9130,119627,93630,105629,107629,119627,122627,0,1
1,1,1,1,8131,36,你看到一位拿著海報的人,30,250,270,321,3073,好,234,3362,2,3,3,5000,1500,9130,148126,122630,134628,136128,148126,153126,0,0
1,1,1,1,8131,34,你看到一位正在開車的人,0,0,300,4003,4103,差,507,10810,-2,3,1,5000,1500,9130,178626,153129,165127,166627,178626,183625,0,0
1,1,1,1,8131,18,你到咖啡廳買了一杯咖啡,0,60,300,305,7430,無意見,0,12000,0,2,1,1000,2000,9130,209626,183628,195626,197626,209626,210626,0,1
1,1,1,1,8131,4,你看到創世基金會的志工拿著募款箱募款,30,250,270,229,9383,無意見,0,12000,0,1,3,3000,4000,9130,238627,210629,222628,226627,238627,241627,0,1
1,1,1,1,8131,6,你看到幫助先天基因疾病病患的基金會的募款箱,250,0,50,9753,9858,非常好,212,1706,4,1,2,1000,4000,9130,269627,241630,253628,257628,269627,270627,0,0
1,1,1,1,8131,30,你看到一家雞排店並買了一個雞排,20,280,280,0,11898,好,185,8571,2,2,4,1000,4000,9130,298627,270630,282629,286628,298627,299627,0,0
1,1,1,1,8131,10,你看到幫助震災重建的基金會志工拿著募款箱募款,140,180,160,166,4642,無意見,0,11998,0,1,5,5000,1500,9130,325128,299631,311630,313130,325128,330128,0,1
